nums[] lenght;InsertionSort;SelectionSort;HeapSort;QuickSort;RefAlgorithm;;;;;;;;;;;;
5150;432200;5048330;224290;6873940;8490;;;;;;;;;;;;
5200;507790;5774940;205460;6021660;7630;;;;;;;;;;;;
5250;459650;5219810;190380;7110950;8500;;;;;;;;;;;;
5300;453860;5772070;249690;6689450;10190;;;;;;;;;;;;
5350;529210;5972260;204010;6755740;7280;;;;;;;;;;;;
5400;468920;5463320;197800;6206900;7420;;;;;;;;;;;;
5450;493800;5993780;239410;6691040;7450;;;;;;;;;;;;
5500;624680;5684420;209620;6534110;7490;;;;;;;;;;;;
5550;640880;5765110;211360;6665190;7500;;;;;;;;;;;;
5600;645610;5912750;211260;6734350;7650;;;;;;;;;;;;
5650;663540;5984420;214210;8164600;7590;;;;;;;;;;;;
5700;671730;6051370;219260;8020860;7730;;;;;;;;;;;;
5750;694950;6154840;216350;7205360;7750;;;;;;;;;;;;
5800;705420;6275300;220720;10160570;10710;;;;;;;;;;;;
5850;909710;7393840;237500;7832590;7830;;;;;;;;;;;;
5900;708340;6476000;230460;7638940;8010;;;;;;;;;;;;
5950;737780;6671570;230950;8298610;9550;;;;;;;;;;;;
6000;685530;7428650;234170;7808510;8230;;;;;;;;;;;;
6050;759140;6857140;237800;8061190;8260;;;;;;;;;;;;
6100;768870;6940130;235090;8006810;8240;;;;;;;;;;;;
6150;857150;7766400;221350;8114760;9160;;;;;;;;;;;;
6200;712330;7630580;257000;9119400;8500;;;;;;;;;;;;
6250;644440;7990700;239370;8359760;8550;;;;;;;;;;;;
6300;815120;8233820;228940;8851860;8550;;;;;;;;;;;;
6350;848760;8640080;288870;9397780;8660;;;;;;;;;;;;
6400;657000;8084130;299570;9271790;9460;;;;;;;;;;;;
6450;913530;7719500;230450;9206600;8750;;;;;;;;;;;;
6500;683560;8347970;232990;8797470;8870;;;;;;;;;;;;
6550;704000;7946220;250200;9200890;8910;;;;;;;;;;;;
6600;707310;8526920;289230;9496980;12960;;;;;;;;;;;;
6650;1071550;9234700;299840;12781490;10980;;;;;;;;;;;;
6700;1081420;9700010;294770;10574220;9300;;;;;;;;;;;;
6750;960400;9439230;311300;10261990;9210;;;;;;;;;;;;
6800;965870;9149390;264920;9938550;9190;;;;;;;;;;;;
6850;955020;9514740;281940;11396110;10620;;;;;;;;;;;;
6900;1125680;10131120;295610;11317490;9820;;;;;;;;;;;;
6950;1052330;9105940;263900;10435540;14000;;;;;;;;;;;;
7000;1107360;10151650;378380;12284480;9920;;;;;;;;;;;;
7050;805060;9802950;287340;10914090;10880;;;;;;;;;;;;
7100;904420;9855780;331080;11412830;12400;;;;;;;;;;;;
7150;1060720;10004020;263270;10708110;10550;;;;;;;;;;;;
7200;1146440;9745880;478940;12086960;9720;;;;;;;;;;;;
7250;1105760;10447240;307210;12638300;10670;;;;;;;;;;;;
7300;918730;10235640;283440;11669160;9860;;;;;;;;;;;;
7350;1121340;10135180;352210;13222190;11880;;;;;;;;;;;;
7400;1305800;10712580;262440;12577530;10030;;;;;;;;;;;;
7450;894850;10906690;323220;13874510;10150;;;;;;;;;;;;
7500;916800;11559880;381420;13460370;12860;;;;;;;;;;;;
7550;1466740;11257570;297880;13777020;10350;;;;;;;;;;;;
7600;1188700;10689100;291280;13197480;10410;;;;;;;;;;;;
7650;1209780;12849630;355690;13304480;14160;;;;;;;;;;;;
7700;1149320;11758560;347770;12484300;12320;;;;;;;;;;;;
7750;980420;13028790;402450;14249520;10750;;;;;;;;;;;;
7800;1299230;11999800;302120;15205640;10620;;;;;;;;;;;;
7850;1307130;13299510;293090;14045310;10700;;;;;;;;;;;;
7900;1016330;12246440;320830;14638090;13330;;;;;;;;;;;;
7950;1656540;14007800;359450;27309580;18660;;;;;;;;;;;;
8000;3469330;16798040;458090;15637000;10860;;;;;;;;;;;;
8050;1055400;13790960;367310;18293720;13510;;;;;;;;;;;;
8100;1759830;16726380;540380;17917580;14000;;;;;;;;;;;;
8150;1764780;17506990;402730;19017550;20530;;;;;;;;;;;;
8200;1706450;13999400;391580;18369040;11150;;;;;;;;;;;;
8250;1104360;16078470;322190;18822700;16280;;;;;;;;;;;;
8300;1170560;16665200;369970;18312330;13330;;;;;;;;;;;;
8350;1320910;19389950;649830;30452310;21160;;;;;;;;;;;;
8400;4860660;20827750;768570;21626010;16210;;;;;;;;;;;;
8450;1814540;14566550;421250;19776540;18390;;;;;;;;;;;;
8500;1919100;14406780;373900;18602700;26300;;;;;;;;;;;;
8550;1888690;15191930;309870;16833850;12230;;;;;;;;;;;;
8600;1213760;14705200;376110;16341810;11650;;;;;;;;;;;;
8650;1512860;15380620;403970;16737180;11750;;;;;;;;;;;;
8700;1577030;14918970;328670;18017380;11810;;;;;;;;;;;;
8750;1577950;14190930;335260;18141440;11820;;;;;;;;;;;;
8800;1258670;14654500;323230;17617770;11870;;;;;;;;;;;;
8850;1586070;15010110;338090;18388400;11930;;;;;;;;;;;;
8900;1306410;14630690;380300;18914330;12460;;;;;;;;;;;;
8950;1641240;15317260;444450;18746960;12020;;;;;;;;;;;;
9000;1661280;15149380;395570;17216690;12150;;;;;;;;;;;;
9050;1320830;15450710;392330;18938830;14180;;;;;;;;;;;;
9100;2012420;16363500;409800;18920650;12780;;;;;;;;;;;;
9150;1392590;15913690;353840;17894190;14270;;;;;;;;;;;;
9200;1735200;17378180;405980;19680230;12500;;;;;;;;;;;;
9250;2185710;16304260;359870;18287630;12480;;;;;;;;;;;;
9300;1779430;16004880;355540;18539200;13040;;;;;;;;;;;;
9350;1794930;17157130;358140;20413590;12680;;;;;;;;;;;;
9400;2058400;18695100;397200;19884740;12730;;;;;;;;;;;;
9450;1823320;17034010;470300;20222970;12760;;;;;;;;;;;;
9500;1845610;16940610;471970;20847100;12800;;;;;;;;;;;;
9550;1475910;16803830;343440;21262670;12930;;;;;;;;;;;;
9600;1510030;18082020;508230;21416930;12950;;;;;;;;;;;;
9650;1913220;17913540;476020;21500770;17160;;;;;;;;;;;;
9700;1949030;18245180;351580;22073730;13920;;;;;;;;;;;;
9750;2218200;19097690;503020;20546620;13150;;;;;;;;;;;;
9800;1980350;19240520;414940;21685700;13210;;;;;;;;;;;;
9850;2007650;17973540;382680;20942280;13270;;;;;;;;;;;;
9900;2039870;18974950;369670;22372530;13510;;;;;;;;;;;;
9950;2273380;19845000;488890;21820100;13410;;;;;;;;;;;;
10000;2045900;19928600;513480;23310850;13360;;;;;;;;;;;;
10050;2052030;18744980;392910;22611330;17290;;;;;;;;;;;;
10100;1956530;22192470;419560;25365130;17870;;;;;;;;;;;;
10150;2269060;19299640;391610;22029160;13540;;;;;;;;;;;;
10200;2119580;20831420;398400;22443760;13750;;;;;;;;;;;;
10250;2190550;20682820;435870;22849890;13820;;;;;;;;;;;;
10300;2441520;20905770;396770;23834030;15050;;;;;;;;;;;;
10350;2205990;20317210;370450;25375150;13870;;;;;;;;;;;;
10400;2193750;20109930;490070;25109650;14780;;;;;;;;;;;;
10450;1765620;21729230;445110;25112880;15000;;;;;;;;;;;;
10500;1830310;21308170;480150;25928510;14250;;;;;;;;;;;;
10550;1805380;22026600;393250;25629950;14210;;;;;;;;;;;;
10600;1811720;21764000;411830;23887810;15450;;;;;;;;;;;;
10650;2565240;21978510;494470;24381500;14430;;;;;;;;;;;;
10700;2378170;21324490;414890;28847900;15520;;;;;;;;;;;;
10750;2453560;23745500;429840;27408890;14580;;;;;;;;;;;;
10800;1904930;22283670;478270;38812610;32080;;;;;;;;;;;;
10850;4467950;30465160;542620;29376880;18150;;;;;;;;;;;;
10900;2992390;28136280;571490;52617870;31380;;;;;;;;;;;;
10950;2967760;28087150;457010;32559550;18850;;;;;;;;;;;;
11000;4027200;27480400;697680;34025300;32930;;;;;;;;;;;;
11050;2526080;31617390;1555960;50423920;20120;;;;;;;;;;;;
