50;3950;31680;319630;72840;1860;36100
100;10260;114020;280800;219390;4630;6730
150;25830;288540;127870;129010;7080;9980
200;42060;79600;128760;210820;8930;12210
250;55400;40810;122630;363590;11750;15420
300;67750;24980;141380;420340;1580;18370
350;13170;33150;162220;229810;3490;21720
400;15950;43780;121550;243910;2170;23240
450;19450;52780;124000;275710;8240;28160
500;26970;66140;118330;317410;730;30040
550;7020;78640;112160;274370;830;34560
600;7650;92870;50960;142720;670;5080
650;7070;86560;39730;134690;680;4810
700;8100;99170;43120;148030;1110;5860
750;9810;133850;55160;170120;1160;6770
800;10520;151440;57660;188870;1220;6670
850;11210;169250;67060;296430;1480;12060
900;17600;203430;93420;234370;1440;27610
950;13360;191690;72470;253200;1030;14990
1000;15770;197740;73950;281330;1060;14100
1050;17350;216920;79580;316770;1130;15800
1100;18500;240420;61530;330780;1160;3080
1150;20250;260010;58310;359510;1200;1930
1200;21790;286080;60760;398520;1250;3100
1250;23940;305040;66890;472000;1310;3300
1300;27100;329850;69240;471270;1360;3440
1350;26670;353370;73720;480230;1390;3180
1400;29570;382610;74520;451980;1430;2050
1450;31740;412930;76120;479350;1630;2690
1500;33730;436250;82460;502880;1540;2160
1550;35640;465800;89290;522920;1530;2190
1600;36660;496940;81730;546040;1590;2320
1650;40520;528570;85490;635300;1670;2390
1700;41260;556380;88290;667770;1720;2350
1750;45430;592390;91410;695580;1630;2600
1800;46570;624160;92150;758980;1740;2460
1850;49160;659770;352140;1034710;2790;3510
1900;65210;816060;133420;953290;2500;3120
1950;63820;947350;98400;1076010;2180;3310
2000;66870;874670;79840;1035990;2500;3660
2050;79830;817420;75250;887060;1930;2720
2100;63610;843090;74910;931680;2050;2890
2150;67530;885630;78270;963930;2030;2960
2200;73280;923960;78570;1105310;2090;3150
2250;74580;966420;87070;1103160;2170;3180
2300;76060;1007500;82970;1429210;4380;9460
2350;252930;1536750;181000;1670350;3440;3570
2400;83940;1294720;110470;1325980;3490;3600
2450;86110;1544500;178930;1587960;3590;3730
2500;91120;1667490;186900;2189100;3420;4280
2550;114400;1664480;144810;1795670;3570;4400
2600;118440;1410700;100300;1451790;2860;3770
2650;100270;1342330;102280;1643780;4420;3910
2700;107690;1515040;131380;1909580;4490;3920
2750;111700;1563760;132410;1976470;4620;4050
2800;112910;1608550;150720;1713950;3110;4380
2850;113840;1544170;149300;1754730;3150;3940
2900;119450;1595170;154070;1854940;3200;3960
2950;125220;1656120;154900;1925280;3240;4040
3000;130280;1709680;158830;1954730;3330;4160
3050;130850;1764630;161970;2311980;5090;4420
3100;140860;2302390;184690;2532390;3280;4680
3150;151960;1901550;161810;2148410;2970;4350
3200;144020;1940530;345120;2528250;2990;4430
3250;148210;1999410;183450;2294070;3150;4540
3300;156570;2124690;268160;3227670;5080;5600
3350;195470;2271390;127330;2403210;3670;4610
3400;163050;2184700;133560;2845240;3770;5460
3450;192210;2868720;154310;2832570;3820;4830
3500;171340;2377740;153310;2805120;4970;7140
3550;272100;2675500;125950;2726840;3380;4990
3600;183220;2741990;139820;2718890;3390;5190
3650;184260;2512540;161400;3001400;5280;5420
3700;196140;3048510;131470;2868760;3470;5040
3750;269010;3261490;170190;3201230;4080;5070
3800;200980;2717650;150450;3113290;4220;5240
3850;206070;2794000;149350;3207770;4280;5300
3900;213330;2864450;149040;3206540;4240;5310
3950;217550;2930710;220190;3721630;4350;6530
4000;256670;3280730;172360;3349500;5870;5990
4050;236420;3562590;176880;3651740;3830;5470
4100;231160;3145220;157640;3579520;5910;6050
4150;243140;3356150;149300;3845820;6760;8300
4200;368440;4098780;189720;4584300;5060;7220
4250;335400;3553340;157770;3893560;4110;5880
4300;259150;3850350;192530;4145450;6240;6380
4350;267490;4101850;194850;4204080;4090;5950
4400;265710;3618910;230350;4201410;4130;6040
4450;280050;3688250;218610;4556550;4170;6030
4500;280240;3772260;225550;4524750;4300;6120
4550;435860;4916900;297650;5214420;4150;5970
4600;290110;3948810;237430;4737960;4390;6290
4650;302810;4033360;300100;4753240;4560;6330
4700;306140;4124270;299660;4794450;4450;6400
4750;312820;4208930;247570;4889730;4510;6470
4800;315610;4298280;342420;5443460;4530;6480
4850;325900;4877230;405980;6070800;5290;6530
4900;332950;4868240;450550;6271850;9280;14190
4950;348150;4578780;290700;5461430;7190;7340
5000;353660;4661890;266050;5485320;6870;8400
